,ID,Arabic,English,Label,text
0,1.0,🔴 مقارنة بين #لقاحات_كورونا من حيث السعر والفعالية والجرعات ودرجة حرارة التخزين  .. 🤷🏼‍♂️ https://t.co/ZesrC22w1O,"🔴 A comparison between #Corona _ vaccines in terms of price, effectiveness, doses and storage temperature..",3,str🔴 مقارنة بين #لقاحات_كورونا من حيث السعر والفعالية والجرعات ودرجة حرارة التخزين  .. 🤷🏼‍♂️ https://t.co/ZesrC22w1O
1,2.0,"""مستشفى في مدينة هيوستن قام بوقف 178 موظف عن العمل بعد رفضهم أخذ لقاح الكوفيد. هؤلاء قاموا برفع قضية ضد المستشفى بحجة أن قرار الإيقاف مخالف للإجراءات كون اللقاح غير آمن. 
القاضي الفيدرالي حكم بأن ""جميع"" العاملين بالمستشفى وجب عليهم التطعيم  ... أو يشوفون لهم مكان عمل آخر. ""","""A hospital in Houston suspended 178 employees after refusing to take the Covid vaccine. They filed a case against the hospital, claiming that the suspension decision violated procedures because the vaccine was unsafe.
The federal judge ruled that """"all"""" hospital workers must be vaccinated...or see another place of work. ""
",2,"str""مستشفى في مدينة هيوستن قام بوقف 178 موظف عن العمل بعد رفضهم أخذ لقاح الكوفيد. هؤلاء قاموا برفع قضية ضد المستشفى بحجة أن قرار الإيقاف مخالف للإجراءات كون اللقاح غير آمن. 
القاضي الفيدرالي حكم بأن ""جميع"" العاملين بالمستشفى وجب عليهم التطعيم  ... أو يشوفون لهم مكان عمل آخر. """
2,3.0, لا اثار الجدل ولاهم يحزنون بل تكلم بما يمليه عليه ضميره وهناك في أوربا غيره الكثير حذروا من خطورة اللقاحات وضررها على المدى البعيد ..لقاح لا يمنع العدوى بل هو علاج جيني وكل شخص وقناعاته .كيف تعرف أن اللقاح غير آمن عندما يوقعونك على تعهد الا تقاضيهم,"He did not spark controversy, nor did they grieve. Rather, he spoke according to his conscience, and there are many others in Europe who have warned of the danger and long-term harm of vaccines. A vaccine does not prevent infection, but is a genetic treatment, and each person has his own convictions. How do you know that the vaccine is not safe when they sign you a pledge not to sue them?",2,str لا اثار الجدل ولاهم يحزنون بل تكلم بما يمليه عليه ضميره وهناك في أوربا غيره الكثير حذروا من خطورة اللقاحات وضررها على المدى البعيد ..لقاح لا يمنع العدوى بل هو علاج جيني وكل شخص وقناعاته .كيف تعرف أن اللقاح غير آمن عندما يوقعونك على تعهد الا تقاضيهم
3,4.0,""" أستاذ لو قرأت الجملة الثانية لفهمت منها أني ضد لقاح قيد الدراسة.
والحديث عن الحالات النادرة والأمراض المزمنة هي أعذار مؤيدي اللقاح كلما حدثناهم عن حالات وفاة أو أعراض خطيرة لمن تلقى جرعتي التطعيم،هم لا يعترفون بعدم مأمونيته كل شي عندهم وارد إلا أن اللقاح غير آمن.وشكرا لك.""","Professor, if you read the second sentence, you would understand that I am against a vaccine under study.
Talking about rare conditions and chronic diseases are the excuses of vaccine supporters. Whenever we tell them about death cases or serious symptoms for those who received the two doses of vaccination, they do not admit that it is not safe. Everything they have is possible, except that the vaccine is not safe. Thank you.",2,"str"" أستاذ لو قرأت الجملة الثانية لفهمت منها أني ضد لقاح قيد الدراسة.
والحديث عن الحالات النادرة والأمراض المزمنة هي أعذار مؤيدي اللقاح كلما حدثناهم عن حالات وفاة أو أعراض خطيرة لمن تلقى جرعتي التطعيم،هم لا يعترفون بعدم مأمونيته كل شي عندهم وارد إلا أن اللقاح غير آمن.وشكرا لك."""
4,5.0,"""🔴لكل الآباء والأمهات :
لا تترددوا في إعطاء ابنائكم لقاح كورونا فهو آمن وفعال و ابتعدوا عن سماع الشائعات التي لا تمت للواقع بصلة .
","I said: You are not doing anything but killing your instinct, and continuing to kill it every day, the man will not lose anything!",3,"str""🔴لكل الآباء والأمهات :
لا تترددوا في إعطاء ابنائكم لقاح كورونا فهو آمن وفعال و ابتعدوا عن سماع الشائعات التي لا تمت للواقع بصلة .
"
5,6.0,""" كيف عرفت 1610؟
ترا دول كثيرة تعمل بمبدأ ""التكتم والإخفاء"" على أعداد الوفيات الحقيقية والإصابات، وكذلك تستورد أي لقاح حتى تكون نسبة التطعيم عالية، وإن كان اللقاح غير آمن.. بهدف إنقاذ الاقتصاد من الانهيار الاقتصادي، وتعافي الرفد السياحي""","How do you know 1610?
You see many countries working on the principle of ""concealment and concealment"" on the real numbers of deaths and injuries, as well as importing any vaccine so that the vaccination rate is high, even if the vaccine is not safe... with the aim of saving the economy from economic collapse, and recovering the tourist supply.",2,"str"" كيف عرفت 1610؟
ترا دول كثيرة تعمل بمبدأ ""التكتم والإخفاء"" على أعداد الوفيات الحقيقية والإصابات، وكذلك تستورد أي لقاح حتى تكون نسبة التطعيم عالية، وإن كان اللقاح غير آمن.. بهدف إنقاذ الاقتصاد من الانهيار الاقتصادي، وتعافي الرفد السياحي"""
6,7.0,كلامك عين العقل نشيل دكاترة الكويت على صوب.. في دكاتره اجانب بالمئات صرحوا بأن اللقاح غير آمن.. ياخي خل هذا كله.. في آلاف مسجلين للتطعيم ! تروح تضيق على اللي رافضين التطعيم وانت اساسا ماخلصت  تطعيم اللي راغبين فيه !! هل هذا منطق!,"Your words are the eye of the mind. We need Kuwaiti doctors on the right.. There are hundreds of foreign doctors who stated that the vaccine is not safe.. Brother, let go of all this.. There are thousands registered for vaccination! You go to narrow down those who refuse to vaccinate, and you haven't finished vaccinating those who want it!! Is this logic!",2,strكلامك عين العقل نشيل دكاترة الكويت على صوب.. في دكاتره اجانب بالمئات صرحوا بأن اللقاح غير آمن.. ياخي خل هذا كله.. في آلاف مسجلين للتطعيم ! تروح تضيق على اللي رافضين التطعيم وانت اساسا ماخلصت  تطعيم اللي راغبين فيه !! هل هذا منطق!
7,8.0,@mohebrahim85 لماذا لا يصبرون على تطعيم الاطفال لغاية ما يكون هناك دواء فعلي يُنتج  لهذا الوباء المفتعل ، الطفوله في خطر وهذا ليس كلامي .,Why are they not patient with vaccinating children until there is an actual medicine produced for this fabricated epidemic? Childhood is in danger and this is not my words.,2,str@mohebrahim85 لماذا لا يصبرون على تطعيم الاطفال لغاية ما يكون هناك دواء فعلي يُنتج  لهذا الوباء المفتعل ، الطفوله في خطر وهذا ليس كلامي .
8,9.0,بو ثامر هولاء من اكتشف لقاح فايزر بعد دراسة طويلة وعدة تجارب    وانت قاعد في الديوانية مع ربعك تدخنون مالبورو احمر الي مو مضمون ولا امن  وتفتون ان اللقاح غير آمن وغير مضمون ,"Bou Thamer, these are the ones who discovered the Pfizer vaccine after a long study and several experiments, and you are sitting in Diwaniyah with a quarter of you smoking Marlboro Red, which is not guaranteed or safe, and you are intrigued that the vaccine is not safe and not guaranteed",2,strبو ثامر هولاء من اكتشف لقاح فايزر بعد دراسة طويلة وعدة تجارب    وانت قاعد في الديوانية مع ربعك تدخنون مالبورو احمر الي مو مضمون ولا امن  وتفتون ان اللقاح غير آمن وغير مضمون 
9,10.0,"""""""لم أشعر بشىء. انها عملية تلقيح عادية ستحميني وتحمي عائلتي. فكيف يمكنني رفض حماية عائلتي؟ يقول الدكتور سامي بعد حصوله على لقاح #كوفيد19.

سجل للحصول على اللقاح هنا https://t.co/SJ7c8m7ROf أو اتصل على 1214.
#اللقاح_فعال https://t.co/psQ10G6RQ3""","""""""I didn't feel anything. It's a normal vaccination process that will protect me and my family. How can I refuse to protect my family? Says Dr. Sami after getting the #Covid19 vaccine.

Register to get vaccinated here https://t.co/SJ7c8m7ROf or call 1214.
#Vaccine_effective https://t.co/psQ10G6RQ3",1,"str""""""لم أشعر بشىء. انها عملية تلقيح عادية ستحميني وتحمي عائلتي. فكيف يمكنني رفض حماية عائلتي؟ يقول الدكتور سامي بعد حصوله على لقاح #كوفيد19.

سجل للحصول على اللقاح هنا https://t.co/SJ7c8m7ROf أو اتصل على 1214.
#اللقاح_فعال https://t.co/psQ10G6RQ3"""
